committee,committee_type,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
Fair Tax Colorado,Issue Committee,325,12/15/20 0:00,Tierney Lawrence,Colorado Springs,CO,80203,Consultant & Professional Services,Legal Services
Fair Tax Colorado,Issue Committee,4600.88,12/15/20 0:00,Bell Policy Center,Denver,CO,80203,Contributions,Charitable Donation To 501(C)3 Organization
Great Education Colorado Issue Committee,Issue Committee,300,12/16/20 0:00,Wipfli Llp,Milwaukee,WI,53201,Consultant & Professional Services,
Coalition For Women And Children,Issue Committee,80,12/17/20 0:00,Usps,Washington,DC,20260,Other,7215 ∑ Shipping & Postage
Yes On National Popular Vote,Issue Committee,127,12/17/20 0:00,Firstbank,Lakewood,CO,80215,Bank Fees,
Abortion Access For All,Issue Committee,112.88,12/18/20 0:00,Community Language Cooperative,Sheridan,CO,80110,Consultant & Professional Services,
Abortion Access For All,Issue Committee,3015.2,12/18/20 0:00,Ziman Language Services,Denver,CO,80246,Consultant & Professional Services,
Abortion Access For All,Issue Committee,2758,12/18/20 0:00,Stefanie  Clarke,Superior,CO,80027,Telephone,
Abortion Access For All,Issue Committee,1278,12/18/20 0:00,John  Papagiannis,Denver,CO,80206,Telephone,
Abortion Access For All,Issue Committee,2338,12/18/20 0:00,Lucy  Olena,Denver,CO,80205,Telephone,
Abortion Access For All,Issue Committee,7500,12/18/20 0:00,"Mendez, Barkis And Associates",Denver,CO,80203,Consultant & Professional Services,
Great Education Colorado Issue Committee,Issue Committee,1000,12/18/20 0:00,Rkg Development,Lafayette,CO,80026,Consultant & Professional Services,
Great Education Colorado Issue Committee,Issue Committee,23935,12/18/20 0:00,Great Education Colorado Action Fund,Denver,CO,80222,Consultant & Professional Services,
Great Education Colorado Issue Committee,Issue Committee,32508.48,12/18/20 0:00,Great Education Colorado,Denver,CO,80222,Contributions,Charitable Contribution
Students Vote No On 115,Issue Committee,4453.32,12/18/20 0:00,Unfiltered Media,Arlington,CO,22207,Advertising,"Advertising, Management And Design"
Students Vote No On 115,Issue Committee,35,12/18/20 0:00,City National Bank,Beverly Hills,CA,90210,Bank Fees,
Yes On National Popular Vote,Issue Committee,2500,12/18/20 0:00,Sylvia  Bernstein,Boulder,CO,80302,Consultant & Professional Services,Coalition Building
Yes On National Popular Vote,Issue Committee,12500,12/18/20 0:00,Hilltop Public Solutions,Washington,DC,20007,Consultant & Professional Services,Campaign Management
Yes On National Popular Vote,Issue Committee,2500,12/18/20 0:00,League Of Women Voters Of Colorado,Denver,CO,80203,Contributions,Charitable Contribution
Iam27J,Issue Committee,89,12/20/20 0:00,Nationbuilder,Los Angeles,CA,90071,Consultant & Professional Services,Nationbuilder
Abortion Access For All,Issue Committee,3001.1,12/21/20 0:00,Community Language Cooperative,Sheridan,CO,80110,Consultant & Professional Services,
Colorado Families First,Issue Committee,10,12/21/20 0:00,Colorado Secretary Of State,Denver,CO,80290,Bank Fees,
Coalition For Women And Children,Issue Committee,22.16,12/22/20 0:00,Godaddy.Com Llc,Scottsdale,AZ,85260,Other,6410 ∑ Registration & Hosting
Alliance For Life,Issue Committee,8.4,12/23/20 0:00,,,,,Office Equipment & Supplies,Stamps
Fair Tax Colorado,Issue Committee,15,12/24/20 0:00,,,,,Bank Fees,
Abortion Access For All,Issue Committee,21599.57,12/28/20 0:00,Intuit,Mountain View,CA,94043,Employee Services,
Abortion Access For All,Issue Committee,8094.01,12/28/20 0:00,United States Treasury,Washington,DC,20220,Employee Services,
Abortion Access For All,Issue Committee,1298,12/28/20 0:00,Colorado Department Of Revenue,Denver,CO,80261,Employee Services,
Abortion Access For All,Issue Committee,33325.99,12/28/20 0:00,Range Law,Denver,CO,80203,Consultant & Professional Services,
Abortion Access For All,Issue Committee,24,12/28/20 0:00,First Bank,Lakewood,CO,80215,Bank Fees,
Coalition For Women And Children,Issue Committee,10.35,12/28/20 0:00,Fedex,Memphis,TN,38118,Other,7214 ∑ Office Supplies
Stop The Wolf Pac,Issue Committee,0.51,12/29/20 0:00,Anedot,New Orleans,LA,70112,Bank Fees,
