District,candidate,Party,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
Senate District 07,"Rich, Janice",Republican,587.8,1/11/22 0:00,M&M,Hackettstown,NJ,7840,Advertising,
Senate District 07,"Rich, Janice",Republican,100,1/11/22 0:00,Mesa County Republican Party,Grand Junction,CO,81501,Other,House Republican Caucus Fee
Senate District 07,"Rich, Janice",Republican,670,2/21/22 0:00,Impact Promotional Products,Grand Junction,CO,81501,Advertising,
Senate District 07,"Rich, Janice",Republican,20.95,4/22/22 0:00,,,,,Bank Fees,
Senate District 07,"Rich, Janice",Republican,176.82,11/4/21 0:00,Your Sign Company,Grand Junction,CO,81505,Advertising,
Senate District 07,"Rich, Janice",Republican,3.25,11/19/21 0:00,,,,,Bank Fees,
Senate District 07,"Rich, Janice",Republican,166,12/2/21 0:00,Us Postal Service,Grand Junction,CO,81502,Office Equipment & Supplies,
Senate District 07,"Rich, Janice",Republican,12.1,12/7/21 0:00,,,,,Bank Fees,
Senate District 07,"Stahlke, David",Democratic,,,,,,,,
Senate District 08,"Roberts, Dylan",Democratic,81.11,1/3/22 0:00,Facebook,Menlo Park,CA,94025,Advertising,
Senate District 08,"Roberts, Dylan",Democratic,12,1/5/22 0:00,Squarespace Inc,New York,NY,10014,Office Equipment & Supplies,
Senate District 08,"Roberts, Dylan",Democratic,3.48,1/18/22 0:00,Squarespace Inc,New York,NY,10014,Office Equipment & Supplies,
Senate District 08,"Roberts, Dylan",Democratic,3.48,1/24/22 0:00,Squarespace Inc,New York,NY,10014,Office Equipment & Supplies,
Senate District 08,"Roberts, Dylan",Democratic,87.99,1/24/22 0:00,Mailchimp,Atlanta,GA,30308,Advertising,
Senate District 08,"Roberts, Dylan",Democratic,500,1/31/22 0:00,Colorado Democratic Party,Denver,CO,80203,Office Equipment & Supplies,Payment For Van
Senate District 08,"Roberts, Dylan",Democratic,6.78,2/1/22 0:00,Facebook,Menlo Park,CA,94025,Advertising,
Senate District 08,"Roberts, Dylan",Democratic,18,2/7/22 0:00,Squarespace Inc,New York,NY,10014,Office Equipment & Supplies,
Senate District 08,"Roberts, Dylan",Democratic,47.3,2/7/22 0:00,Kum&Go,Craig,CO,81625,Travel & Lodging,
Senate District 08,"Roberts, Dylan",Democratic,97.99,2/23/22 0:00,Mailchimp,Atlanta,GA,30308,Advertising,
Senate District 08,"Roberts, Dylan",Democratic,729.94,3/1/22 0:00,Shane  Beck,Denver,CO,80211,Employee Services,Employee Wages
Senate District 08,"Roberts, Dylan",Democratic,273.91,3/1/22 0:00,Adp,Roseland,NJ,7068,Office Equipment & Supplies,
Senate District 08,"Roberts, Dylan",Democratic,18,3/7/22 0:00,Squarespace Inc,New York,NY,10014,Office Equipment & Supplies,
